LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250205C243,HCI,5-Feb-2025,PICKUP,BK8136LM,Medan,Sumatera Utara,,,Customer,1,0.28,1,37000,139466.67,,Medan,MINI VAN BOX,Internal,Sumatera UtaraMedanMINI VAN BOX,DALAM KOTA,,2,REGULAR,,
250205C173,FBI,5-Feb-2025,PICKUP,A8330VX,Medan,Sumatera Utara,,,Customer,5,1.99,5,113000,317933.33,,Medan,MINI VAN BOX,Internal,Sumatera UtaraMedanMINI VAN BOX,DALAM KOTA,,2,REGULAR,,
250205C142,HCI,5-Feb-2025,CDELC,BK8031LM,Medan,Sumatera Utara,,,Customer,7,8.99,12,60000,264933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205C212,HCI,5-Feb-2025,CDELC,BK8804MH,Medan,Sumatera Utara,,,Customer,2,7.61,13,56500,261433.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205D059,AHI,5-Feb-2025,PICKUP,BK8091LM,Medan,Sumatera Utara,,,Store,2,2.28,3,59500,161966.67,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
250205C145,HCI,5-Feb-2025,CDELC,BK8806MH,Medan,Sumatera Utara,,,Customer,18,8.6,12,81000,285933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205L050,HCI,5-Feb-2025,CDELC,BK8073MQ,Medan,Sumatera Utara,,,Store,7,8.29,8,84000,243133.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205L053,HCI,5-Feb-2025,CDELC,BK8191MQ,Medan,Sumatera Utara,,,Store,13,8.54,12,50000,161400.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205C151,HCI,5-Feb-2025,PICKUP,BK8814MG,Medan,Sumatera Utara,,,Customer,6,2.74,4,95000,150700.0,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
250205L067,AHI,5-Feb-2025,PICKUP,BK8814MG,Medan,Sumatera Utara,,,Store,23,3,11,30000,85700.0,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
250205C171,HCI,5-Feb-2025,CDELC,BK8309MS,Medan,Sumatera Utara,,,Customer,1,7.68,12,343000,723600.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205L040,AHI,5-Feb-2025,FUSO,BK8815MG,Medan,Sumatera Utara,,,Store,26,29.47,1,278000,362166.67,,Medan,FUSO,Internal,Sumatera UtaraMedanFUSO,DALAM KOTA,,2,NON REGULAR,,
250205L065,HCI,5-Feb-2025,CDELC,BK8146LM,Medan,Sumatera Utara,,,Store,13,8.12,9,45000,196497.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205C143,HCI,5-Feb-2025,CDELC,BK8172LM,Medan,Sumatera Utara,,,Customer,7,8.43,10,125000,287900.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205L068,HCI,5-Feb-2025,CDELC,BK8075MQ,Medan,Sumatera Utara,,,Store,29,8.71,8,44500,206966.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205D054,HCI,5-Feb-2025,CDELC,BK8074MQ,Medan,Sumatera Utara,,,Store,39,8.66,3,63500,275385.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205D060,AHI,5-Feb-2025,CDELC,BK8192MQ,Medan,Sumatera Utara,,,Store,2,7.07,1,47000,160916.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,NON REGULAR,,
250205L054,HCI,5-Feb-2025,CDELC,BK8099LM,Deli Serdang,Sumatera Utara,,,Store,3,8.55,12,55000,282833.33,,Deli Serdang,CDE,Internal,Sumatera UtaraDeli SerdangCDE,DALAM KOTA,,2,REGULAR,,
250205C147,HCI,5-Feb-2025,CDELC,BK8803MH,Medan,Sumatera Utara,,,Customer,51,8.14,13,90000,317833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205L001,HCI,5-Feb-2025,CDELC,BK8047MQ,Medan,Sumatera Utara,,,Store,10,8.43,8,73500,301333.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205C144,HCI,5-Feb-2025,CDELC,BK8805MH,Binjai,Sumatera Utara,,,Customer,1,8.67,12,107000,182666.67,,Binjai,CDE,Internal,Sumatera UtaraBinjaiCDE,DALAM KOTA,,2,REGULAR,,
250205C239,HCI,5-Feb-2025,PICKUP,BK8091LM,Medan,Sumatera Utara,,,Customer,1,1.1,1,22000,110050.0,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
250205D058,AHI,5-Feb-2025,CDELC,BK8141LM,Medan,Sumatera Utara,,,Store,285,8.33,1,47000,209900.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,NON REGULAR,,
250205L092,HCI,5-Feb-2025,CDELC,BK8299MH,Pematangsiantar,Sumatera Utara,,,Store,7,8.96,13,426000,588900.0,,Pematangsiantar,CDE,Internal,Sumatera UtaraPematangsiantarCDE,LUAR KOTA,,2,REGULAR,,
250202L038,HCI,2-Feb-2025,CDELC,BK8309MS,Medan,Sumatera Utara,,,Store,12,8.74,8,61000,517033.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204C136,HCI,4-Feb-2025,CDELC,BK8135LM,Medan,Sumatera Utara,,,Customer,9,9.33,8,61000,142233.34,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204C144,HCI,4-Feb-2025,CDELC,BK8804MH,Deli Serdang,Sumatera Utara,,,Customer,10,8.68,7,100000,181450.0,,Deli Serdang,CDE,Internal,Sumatera UtaraDeli SerdangCDE,DALAM KOTA,,2,REGULAR,,
250204L095,HCI,4-Feb-2025,CDELC,BK8804MH,Medan,Sumatera Utara,,,Store,243,8.9,10,25000,106450.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
